number,call
1,one direction
2,Me and you
3,You and me
4,Knock at the door
5,Mambo number
6,Half a dozen
7,Lucky
8,You know you want
9,coming out of my cage and I've been doing just
10,Boris's Den
11,this is the remix to
12,One dozen
13,Unlucky for some
14,The Lawnmower
15,yahs qkween
16,Never been kissed
17,quarantine
18,Coming of Age
19,Goodbye Teens
20,Getting Plenty
21,21 seconds tet tet te
22,I don't know bout you but I'm feeling
23,Jay Z
24,You should recycle more
25,Duck and dive
26,"Two and six, half a crown"
27,Duck and a crutch
28,In a state
29,Deliveroo's on time
30,Dirty Gertie
31,Get Up and Run
32,Tapas for you
33,akon's still lonely
34,Ask for More
35,It's a vibe
36,Triple dozen
37,More than eleven
38,Avocado on a plate
39,selfie time
40,Life Begins
41,Time for fun
42,Winnie the Pooh
43,Cardi B
44,Droopy drawers
45,Halfway there
46,Up to tricks
47,Four and seven
48,Four Dozen
49,Amazon prime
50,It's a bullseye!
51,Tweak of the thumb
52,there's wine in my shoe
53,Spill the tea
54,Lads on tour
55,All the fives
56,Shotts Bus
57,Heinz Varieties
58,Make them wait
59,The Brighton Line
60,Grandma's getting frisky
61,Baker’s bun
62,So solid crew
63,Gonna nip for a wee
64,Almost retired
65,"Retirement age, Stop work"
66,Clickety click
67,"Days until the machines take over, wait, DELETE DELETE DELETE, I mean"
68,Pick a Mate
69,A Favourite of mine
70,Three score and ten
71,Bang on the Drum
72,whatsapp the crew
73,Queen Bee Under The Tree Lucky 3
74,Hit the Floor
75,Arthritis
76,zoom pub quiz
77,Two little crutches
78,Haters gon hate
79,One more time
80,Gandhi's Breakfast
81,you okay hun?
82,I'm gonna get more right than you
83,vodka for tea
84,Seven dozen
85,Staying alive
86,Between the sticks
87,Sangria in heaven
88,Two Fat babies
89,Wash your hands you swine
90,Top of the shop
